"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";2,93518408569947;3,38941322192224;3,3974043067246
"PER1";3,23768754945443;3,50652557381847;3,35429410855999
"1FON";2,9151005347605;3,11407847399228;3,24512830993829
"1BEN";2,94417384377421;3,32078345021376;3,31025737396662
"1TUR";3,04021350098345;3,46109400135217;3,16469652340581
"1CHA";2,8055201930357;3,19936317127153;2,97645810264618
"3EL ";3,18001460676891;3,6063726531828;3,64806686413025
"2EL ";2,8410442729055;3,0500924388812;3,31497728756724
"2DAM";3,27732932283079;3,48176435037016;3,57350139002813
"1BOI";3,04581094917782;3,40452403518693;3,34862207564332
"4EL ";3,04620730635152;3,40773861053723;3,37682592060553
"1DAM";3,34301677810076;3,51349167500078;3,33273266753471
"1ROC";2,86958636072613;3,31293023775836;2,83061266538423
"T1  ";3,57990321712852;3,45876328382002;2,94650411519367
"2BEA";3,67332532497046;3,70478656043272;3,31024285444621
"2BOU";3,18805511956082;3,43620888458231;3,38514667021413
"T2  ";3,38029651890749;3,66937243918728;3,23533003688636
"1VAU";2,77173817662932;3,29109920624788;2,80003214399484
"DOM1";2,76751384346584;3,16634908729043;3,37239558772878
"1POY";3,31074491142052;3,50041248676054;3,20863808751917
"2ING";2,61875143199405;3,00828176865951;3,0019936707714
