"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";3,188198353822;3,45786032415091;3,34106872286128
"PER1";3,1766189280818;3,45195623008153;3,32647767515182
"1FON";2,87739724365281;3,27433811068694;3,2421396174245
"1BEN";2,93923093389594;3,3202969912877;3,32207361858434
"1TUR";2,95808318207391;3,31362073401612;3,15435198520822
"1CHA";2,86814238620883;3,23165032169277;3,10740671791542
"3EL ";3,11063388452112;3,37676500941645;3,24787480410292
"2EL ";2,85047525555161;3,19996221047886;3,33247674433458
"2DAM";3,02628765336809;3,34324598515366;3,54940265691778
"1BOI";3,14902985363183;3,48299392119615;3,39239832498745
"4EL ";3,27197027766996;3,52247090647201;3,31425345503177
"1DAM";3,42681452358628;3,66427938026507;3,50539849641262
"1ROC";3,00420820452644;3,33018743211161;3,23889425336523
"T1  ";3,80500086928227;3,66376958177399;3,00373016362737
"2BEA";3,51325733603331;3,56013204141649;3,36076194484456
"2BOU";3,19602430178737;3,51096541297983;3,36644156971095
"T2  ";3,51021102380907;3,81395296518096;3,18763413278662
"1VAU";2,98881649855629;3,29396279603191;2,69888569696728
"DOM1";2,90680546008239;3,29082339644474;3,17419856959587
"1POY";3,09537824229917;3,39350987008197;3,24259361830027
"2ING";2,51369700770994;3,07974165252262;3,06452108550869
