"obs";"F1";"F2"
"2EL ";0,0504840183922492;0,0923164426928238
"1CHA";-0,459992515440649;0,0911117381902857
"1FON";-0,251933763494238;0,120803735521027
"1VAU";-1,17986282186098;0,031163636497927
"1DAM";0,839525194591288;-0,02724977518513
"2BOU";0,168580120976539;0,185010832536053
"1BOI";0,313937346586114;0,1845329893762
"3EL ";-0,00468132214443198;-0,0862647818485226
"DOM1";-0,178532550981695;0,303937977525039
"1TUR";-0,300001242948249;-0,14999460722249
"4EL ";0,291888046185828;0,0123668109245797
"PER1";0,252265501740293;-0,0463795585021835
"2DAM";0,566304891432722;-0,0701216471198549
"1POY";0,168789749703106;0,0460469988546696
"1ING";0,274484698342722;0,150206681356655
"1BEN";-0,0443376082911235;0,172094312498213
"2BEA";0,586293643763481;0,0994585161486508
"1ROC";-0,0859869753312172;-0,151743197636897
"2ING";-1,00279985606767;-0,0307510881696438
"T1  ";0,222393765877045;-0,576243829934306
"T2  ";-0,226818321031124;-0,350302186503097
