"obs";"F1";"F2"
"2EL ";-0,201219944039117;-0,0431601777513036
"1CHA";-0,456120842849267;-0,405624778747802
"1FON";-0,455784576691431;-0,534378087574813
"1VAU";-0,672589793942827;0,511064123306233
"1DAM";0,245008015023355;-0,318046072480834
"2BOU";0,35847291768162;-0,408161843615208
"1BOI";0,208962798867827;-0,252406373223194
"3EL ";0,47919045427757;0,226552141280144
"DOM1";-0,0416913216260862;-0,00142194420598081
"1TUR";-0,109489291420872;0,299073201308935
"4EL ";0,325988879785665;0,0647675952765778
"PER1";0,231078835136807;0,319570692363601
"2DAM";0,187894082435991;-0,115453678378649
"1POY";0,17432452254156;-0,128374272223392
"1ING";0,47244365263444;-0,387666957134797
"1BEN";-0,201365785613733;-0,286492213007573
"2BEA";0,239176666375908;0,0111660590607917
"1ROC";-0,101026919444281;-0,217344889759602
"2ING";-1,25920475353702;0,230006242394589
"T1  ";0,36345717684697;0,940235729083365
"T2  ";0,212495227556912;0,496095504028918
