"obs";"F1";"F2"
"2EL ";-0,0290434286142128;-0,102137745985584
"1CHA";0,27215112329794;0,242781415403254
"1FON";0,498360418101754;0,26733115099261
"1VAU";0,643821058267109;0,292171878692297
"1DAM";-0,545251152287493;0,0614611620598431
"2BOU";0,278110074503922;-0,332221485039354
"1BOI";-0,265091473809225;-0,290239833122343
"3EL ";-0,139421259330116;0,264381524196706
"DOM1";0,141963789525147;-0,244022244477132
"1TUR";0,293069296434715;-0,147855256208126
"4EL ";-0,378684450040003;-0,0909772387018773
"PER1";-0,363701515659499;-0,0636993394458094
"2DAM";-0,239835116450424;-0,193706335826742
"1POY";-0,0666798242602796;-0,288281735502837
"1ING";-0,0453732392560529;-0,179781124106456
"1BEN";0,180009823607957;-0,183219211814153
"2BEA";-0,155881207824984;-0,354654310294918
"1ROC";-0,0260362257509883;-0,177854782929188
"2ING";1,05175027616059;0,2737878676902
"T1  ";-0,613266463844568;0,497228027851273
"T2  ";-0,490970502771288;0,749507616568343
