"obs";"F1"
"2EL ";0,134268531603057
"1CHA";-0,153926662885921
"1FON";-0,290405606392211
"1VAU";-0,630035752845288
"1DAM";0,588067263607015
"2BOU";-0,195595045287361
"1BOI";0,266901528632075
"3EL ";-0,679299081588178
"DOM1";0,142745025020015
"1TUR";0,220057057468441
"4EL ";0,0657607860882019
"PER1";0,184499187923636
"2DAM";0,308026861797047
"1POY";0,0977580660089139
"1ING";0,0787945551876961
"1BEN";0,348876678780317
"2BEA";0,75774181052109
"1ROC";0,281667734370365
"2ING";-0,276749893988699
"T1  ";-0,288171936227437
"T2  ";-0,960981107792775
