"obs";"F1";"F2"
"2EL ";-0,388459969138656;-0,0683644065389042
"1CHA";-0,741097192876099;-0,0525598441364751
"1FON";-0,328845464797387;0,120608287967583
"1VAU";-0,207784620706364;0,726569957601905
"1DAM";0,00359250312417021;-0,367968763730357
"2BOU";0,0253119983262831;-0,449339689702055
"1BOI";0,0175728894471824;-0,259450575584957
"3EL ";0,00865666524881955;-0,444879005243026
"DOM1";0,194688635722759;0,129582753987424
"1TUR";0,207795010735924;0,235615387509365
"4EL ";0,258748807119712;-0,143777645010663
"PER1";0,404583092871544;0,118462621579142
"2DAM";-0,0879776809709971;-0,259069267341179
"1POY";0,158904175612168;-0,138063312033045
"1ING";0,0970400371248719;-0,520713881663762
"1BEN";-0,313015459883667;-0,0382681315174404
"2BEA";0,181143125073125;-0,184083493098491
"1ROC";-0,312388787809859;-0,0987913562723452
"2ING";-0,325552505100221;1,10864065532621
"T1  ";0,896603150015571;0,488566881798719
"T2  ";0,250481590861123;0,0972828261023579
