"obs";"F1";"F2"
"2EL ";0,0414048390651674;0,0903808156363607
"1CHA";-0,479665333823031;0,093009872447284
"1FON";-0,273236650292322;0,126400376552734
"1VAU";-1,21673110413411;0,0399968706108042
"1DAM";0,881961035124524;-0,0317187959454316
"2BOU";0,213235134620605;0,178795594183537
"1BOI";0,378230292866505;0,178940266130878
"3EL ";-0,00926892960748844;-0,104898407472691
"DOM1";-0,191830964350511;0,298469683698939
"1TUR";-0,347938144743467;-0,135811839209787
"4EL ";0,315853937402544;0,0190914419703073
"PER1";0,263553458347359;-0,0465319163604422
"2DAM";0,600513180851507;-0,0772439151144403
"1POY";0,186238018766597;0,0427342366267687
"1ING";0,287723828418439;0,149730751666472
"1BEN";-0,00568429774174344;0,180822439883445
"2BEA";0,622488370074389;0,0849058726678112
"1ROC";-0,124615200296632;-0,154181569082308
"2ING";-1,08654212523183;-0,000755586315333239
"T1  ";0,168298484081576;-0,570488697938562
"T2  ";-0,223987829398081;-0,361647494636343
