"obs";"F1";"F2"
"2EL ";-0,0198320080351221;-0,106039799788677
"1CHA";0,247871676931561;0,228708127247587
"1FON";0,473979260992032;0,272068315815896
"1VAU";0,619046829494848;0,313863562144672
"1DAM";-0,550250613121819;0,0727753466128093
"2BOU";0,313821373619081;-0,294685906081511
"1BOI";-0,236881752835806;-0,281340617231156
"3EL ";-0,17214003421676;0,194404568922512
"DOM1";0,164188902748065;-0,252834805062899
"1TUR";0,310067843069059;-0,122183810414525
"4EL ";-0,374374977604693;-0,12777532249484
"PER1";-0,357140535209179;-0,0561917253813557
"2DAM";-0,222768925387396;-0,203512384738288
"1POY";-0,0380656300224161;-0,275361617896387
"1ING";-0,0269246621989451;-0,166145181122661
"1BEN";0,199015093229772;-0,169044202104874
"2BEA";-0,123588091282633;-0,364982146776921
"1ROC";-0,00848786178489198;-0,170956483957544
"2ING";1,03465487071679;0,347213240715885
"T1  ";-0,665212193246256;0,456252304145849
"T2  ";-0,566978565855284;0,705768537446431
