"obs";"F1";"F2";"F3"
"2EL ";-0,0920415679642771;0,392155567928125;-0,135115322200574
"1CHA";0,266464601485086;0,172383167469515;0,0973315292607042
"1FON";-0,0753811571181229;0,115312499316647;0,00809981135327126
"1VAU";1,37100792565499;0,00444657572070034;0,174431288395711
"1DAM";-0,527204260782579;-0,109835752482779;0,128206646550996
"2BOU";-0,311791421909077;-0,160004128589148;-0,0413291443605824
"1BOI";-0,44156601395367;0,0351245265274057;0,24910666319296
"3EL ";-0,0704915555843677;-0,0179494341859686;0,171534219068731
"DOM1";-0,196904270541787;0,117691867056336;0,0802319827442998
"1TUR";0,173819758939515;0,0730387276236117;-0,318129559826141
"4EL ";-0,166214349329956;-0,194801537059301;-0,0967015461792609
"PER1";-0,246914244477263;-0,0165637358118795;0,0833080485347055
"2DAM";-0,785107796735696;0,1992424978805;-0,0696568660521695
"1POY";-0,626832606886402;-0,120643829719444;0,154954467854367
"1ING";-0,210247099606495;-0,0129621778132085;-0,0594253169248747
"1BEN";-0,33662030492543;0,0951968071320513;0,0290739577230097
"2BEA";-0,2186779600636;0,0230907270122411;-0,17095845097646
"1ROC";-0,0407111800031104;0,0462230976138033;-0,218122622107508
"2ING";1,16474889406073;0,735650972732845;-0,0281649033350738
"T1  ";0,810174901327417;-0,380065292052943;0,0938393616317415
"T2  ";0,560489708414098;-0,996731146299111;-0,132514244347848
