"obs";"F1";"F2";"F3"
"2EL ";0,201589122724922;-0,415843934559152;-0,313451084235814
"1CHA";0,0527994820581309;-0,991999542976926;-0,0391879309899274
"1FON";-0,140568079015351;-0,0481314140985452;-0,163693375406112
"1VAU";-0,928411212285182;-0,309766523641787;0,459917025019935
"1DAM";0,337734944554412;0,428803654373272;0,0149942172935829
"2BOU";-0,172375327725113;-0,115218561590157;-0,108801774094938
"1BOI";0,112438288254675;0,532420871724477;0,153165853249594
"3EL ";-0,486025227927885;0,0285512001675786;-0,0280389316621421
"DOM1";0,133226857296511;0,0911864394027217;-0,21465828083319
"1TUR";0,302554359668045;-0,281636452316365;0,0860046007481045
"4EL ";0,0460221119748249;0,000219804143300118;0,0141440898357577
"PER1";0,160493157237989;0,109407773783331;0,0449683388899113
"2DAM";0,363886711047042;0,000408857404527678;0,0877413471876731
"1POY";0,284065699833728;0,144201212886568;0,081204179230124
"1ING";0,105961491161525;0,17230103187391;0,072779049089664
"1BEN";0,254556714826286;0,0392245359486621;-0,240638742312488
"2BEA";0,623616441031804;0,384206959231846;0,32603818564117
"1ROC";0,23347114825111;-0,252989352328902;-0,0882400232696797
"2ING";-0,136361364255901;-0,449601685178614;0,208277347520042
"T1  ";-0,34756788662925;0,475515075526634;-0,152102662872307
"T2  ";-1,00110743208232;0,458740050223622;-0,200421428028963
