"obs";"F1";"F2"
"2EL ";0,0195168720458556;0,107828018085629
"1CHA";-0,477940081830888;0,0857223377833931
"1FON";-0,293601755391765;0,13559474149137
"1VAU";-1,17461676380909;-0,00510735893447829
"1DAM";0,860343710766658;-0,0124816858180399
"2BOU";0,201964400071691;0,170411699107672
"1BOI";0,368200237571999;0,164763341343916
"3EL ";0,0180843172497382;-0,107016033703579
"DOM1";-0,233483419137454;0,321335310403985
"1TUR";-0,342484386026836;-0,131150422703311
"4EL ";0,303026087957251;0,0198483895457456
"PER1";0,261559855405878;-0,0427027982786065
"2DAM";0,600959642206943;-0,0722332031389964
"1POY";0,180345550051935;0,0440154098253072
"1ING";0,253247666279002;0,168821642612569
"1BEN";-0,0169533367567571;0,16135027624324
"2BEA";0,600933498161882;0,103443886029279
"1ROC";-0,113590309755376;-0,14189296308131
"2ING";-1,08901517564993;-0,00538697706277812
"T1  ";0,21435268735716;-0,56053807197885
"T2  ";-0,140849296767898;-0,404625537772153
