"obs";"F1";"F2";"F3"
"2EL ";0,15090475675248;0,363069149813856;-0,156646300514466
"1CHA";0,363433147315459;0,160103320490257;0,0911755343974554
"1FON";-0,0344947257061999;0,135228527993388;-0,00153656110154676
"1VAU";1,46533524204488;-0,155751945374301;0,201171505325133
"1DAM";-0,664841302029207;0,0127916758655563;0,118694581818995
"2BOU";-0,409430076291652;-0,127576933031289;-0,0362465618490409
"1BOI";-0,507408065056175;0,177404414529721;0,236108303647084
"3EL ";-0,11888437105266;0,0464224204163075;0,161742340140105
"DOM1";-0,188473125899849;0,17565214090334;0,0700979214100901
"1TUR";0,316039161364567;-0,0533823641510839;-0,31298767701226
"4EL ";-0,2953699169239;-0,191277472489681;-0,0869948473620999
"PER1";-0,318218110038243;0,0499526227390046;0,0788673420146506
"2DAM";-0,753916294354345;0,302988265192836;-0,0952034736771931
"1POY";-0,788077955387147;0,0272294226868397;0,13748503863272
"1ING";-0,216517130490261;0,000174512429459959;-0,0623660925112159
"1BEN";-0,362947047736779;0,167878617480065;0,0129210852327047
"2BEA";-0,168565293807946;0,000304558381578097;-0,17346020875108
"1ROC";0,0236419645341269;-0,0162739426784349;-0,208957092106748
"2ING";1,74050639030977;0,528308587324218;-0,0403512008501509
"T1  ";0,679255542796141;-0,483747240102543;0,132163988798696
"T2  ";0,08802720965694;-1,11949833841909;-0,0656776256818304
