"obs";"F1";"F2"
"2EL ";-0,343076681099163;-0,398881417329786
"1CHA";0,590501168967287;-0,641305811387097
"1FON";0,383288333344822;0,114630731489948
"1VAU";1,06818956198575;0,0490422592991391
"1DAM";-0,393224283191835;-0,113581735867762
"2BOU";-0,455129390913596;0,156015239743823
"1BOI";-0,187359619397909;-0,0778893700047636
"3EL ";-0,11855583356007;-0,274973401318197
"DOM1";-0,0826581192789032;0,314278783733834
"1TUR";0,309425143180622;0,380118296375737
"4EL ";0,0658130150450898;0,265075413977213
"PER1";-0,559726761676252;0,197049431204564
"2DAM";-0,429415603763456;-0,277502896404905
"1POY";-0,668129647943711;0,0403321450214735
"1ING";-0,305918722323729;-0,212210127422316
"1BEN";0,1647406307741;0,0790416704109
"2BEA";-0,0821951153466902;-0,372546241602335
"1ROC";0,21162123442893;0,06276169296431
"2ING";1,30235518574796;0,0398914044681989
"T1  ";-0,195543174075303;0,55750336885892
"T2  ";-0,275001320903952;0,1131505637891
