"obs";"F1";"F2"
"2EL ";-0,317398784266535;-0,406062980118572
"1CHA";0,626043145429022;-0,630776034534994
"1FON";0,374810043789773;0,121980643964895
"1VAU";1,06202324631138;0,0684056827866846
"1DAM";-0,385004280318873;-0,120955727129406
"2BOU";-0,462166412981466;0,147384925018997
"1BOI";-0,181724372248752;-0,0816432775005098
"3EL ";-0,100021023975028;-0,278523005546481
"DOM1";-0,101258033819566;0,313186428384623
"1TUR";0,284973373389571;0,386712307661556
"4EL ";0,0487474569082046;0,267236413802317
"PER1";-0,566923808994198;0,185328691886942
"2DAM";-0,412321665789714;-0,285141637880531
"1POY";-0,666462091690852;0,0269702584239794
"1ING";-0,293928864263965;-0,217000872411143
"1BEN";0,158902937453515;0,0825784777101803
"2BEA";-0,0619841037249046;-0,373051055922727
"1ROC";0,205573395538636;0,0677345029450283
"2ING";1,29539393063924;0,0638726894373274
"T1  ";-0,227667283207921;0,554294993308567
"T2  ";-0,27960680417757;0,107468575713265
