"obs";"F1";"F2";"F3"
"2EL ";0,147152898730072;0,366592505964389;-0,154115695387506
"1CHA";0,362729410458662;0,152732487480727;0,0964834633851131
"1FON";-0,0358978876900053;0,133256491922586;-0,00024090602064331
"1VAU";1,46937656950878;-0,16333501667469;0,20758722528213
"1DAM";-0,666174058079964;0,0106057550837915;0,108520918059297
"2BOU";-0,409070312480032;-0,122784337897081;-0,0430058519577806
"1BOI";-0,5103268051805;0,170425303912092;0,223581907665002
"3EL ";-0,119869745180167;0,0437150480785047;0,150763110349025
"DOM1";-0,189418644020181;0,163376974084975;0,0842980851046105
"1TUR";0,315859741020909;-0,0345161575817973;-0,320110859660259
"4EL ";-0,293118098699618;-0,191732657008201;-0,0750291709962732
"PER1";-0,317960849313989;0,0379418954638361;0,0926502786068827
"2DAM";-0,757260636368962;0,297323113286716;-0,0826501162329041
"1POY";-0,789641552630407;0,024269110557981;0,125898119655667
"1ING";-0,217284379476167;0,00562008386305661;-0,0681388972771147
"1BEN";-0,364005923902264;0,157407421963503;0,029042429635752
"2BEA";-0,169856284630913;0,0138346876991395;-0,184191634013629
"1ROC";0,0242227866522452;-0,0128191789014612;-0,196021251513468
"2ING";1,73651599961155;0,533508772296958;-0,0443265137057066
"T1  ";0,684776135970274;-0,480586553739438;0,123361433056339
"T2  ";0,099251635700683;-1,10483574985559;-0,0743560740345296
