"obs";"F1";"F2"
"2EL ";-0,0246857884150953;-0,099682049022832
"1CHA";0,256028575185444;0,260966796995835
"1FON";0,483898898841231;0,287787872747617
"1VAU";0,630988668743802;0,311308730379832
"1DAM";-0,543455296304742;0,0232687853361982
"2BOU";0,301003141236475;-0,330002494183291
"1BOI";-0,247734435825938;-0,304318604622753
"3EL ";-0,166327003176793;0,288738009065053
"DOM1";0,151519397292033;-0,226442231537566
"1TUR";0,304346863917557;-0,142068279682051
"4EL ";-0,380107012312187;-0,0909535745083621
"PER1";-0,357351118498897;-0,08709034064861
"2DAM";-0,231229312623141;-0,198238376397167
"1POY";-0,049488000640044;-0,293300181918377
"1ING";-0,0334780918885619;-0,186113149539851
"1BEN";0,191161213451175;-0,176990363117589
"2BEA";-0,139831975283981;-0,350973466436495
"1ROC";-0,0157208526740915;-0,179519984710992
"2ING";1,04869458329942;0,288716735856562
"T1  ";-0,643482011002668;0,474591816047223
"T2  ";-0,534750443320994;0,730314349897619
