"obs";"F1";"F2";"F3"
"2EL ";0,111683457822467;0,478567258837445;-0,178613371814465
"1CHA";-0,179372528581608;1,03163550230509;0,126427777975771
"1FON";-0,303431527603904;0,140097294342807;-0,247886736732055
"1VAU";-0,572305739810664;-0,233789834932958;1,01318815189407
"1DAM";0,600793517644561;-0,488709954018988;0,0358255868913041
"2BOU";-0,194343975089113;0,078702167163679;0,0265533272419659
"1BOI";0,28429655020661;-0,563616747207321;0,05238678421983
"3EL ";-0,689811147278247;0,0285265616438329;-0,298834720107228
"DOM1";0,135947859757206;-0,0421898994907471;-0,182144008590589
"1TUR";0,214459364158397;0,365194937978798;0,163082926699048
"4EL ";0,0684509453835661;-0,00877444822891193;0,0596767377287833
"PER1";0,187072545949717;-0,080725003308595;0,0319912625439039
"2DAM";0,298716545034196;0,125963117944264;-0,0494074548136158
"1POY";0,0780212054200856;0,0959163314364908;-0,314245676361244
"1ING";0,0721367157797834;-0,0963671594639176;-0,170433205453923
"1BEN";0,348278753374188;-0,0418503571236353;-0,0310133911644694
"2BEA";0,768077203309577;-0,312068015136263;0,172125191517982
"1ROC";0,279147890154562;0,232702851043329;0,126325721161762
"2ING";-0,288281425919562;0,462920648529708;0,0674004733760827
"T1  ";-0,281267010801683;-0,521957982795031;-0,264301451985833
"T2  ";-0,938269198910136;-0,650177269519077;-0,13810392422708
