"obs";"F1";"F2"
"2EL ";-0,0113815621476475;-0,101845412412549
"1CHA";0,236097067412844;0,269136406834876
"1FON";0,456921785154951;0,310245495473322
"1VAU";0,596541150220824;0,344135460224411
"1DAM";-0,562551991459346;0,00259971888961253
"2BOU";0,330147751102238;-0,308800534156421
"1BOI";-0,220056211742943;-0,313430407361067
"3EL ";-0,173071365594507;0,265603996876662
"DOM1";0,185988260513993;-0,222413583288168
"1TUR";0,31619504135015;-0,123179006154154
"4EL ";-0,36032093632589;-0,116149554213553
"PER1";-0,357560591126987;-0,100851386973097
"2DAM";-0,207593676459078;-0,210858780067682
"1POY";-0,020879250557801;-0,292915047292436
"1ING";-0,0178212580290309;-0,184675687029335
"1BEN";0,210092022958116;-0,165745123596098
"2BEA";-0,0956165338693141;-0,360062495790744
"1ROC";0,00254503627688614;-0,178895608680076
"2ING";1,00222020078918;0,351673030724222
"T1  ";-0,695597507445434;0,438107684995053
"T2  ";-0,614297431021199;0,698320832997226
