"obs";"F1";"F2";"F3"
"2EL ";0,113405207518657;0,37996509726281;-0,140910964978991
"1CHA";0,358188103645767;0,145463718271981;0,0967787277300971
"1FON";-0,0471620926604653;0,127774307674058;0,00414459775824399
"1VAU";1,50007727055699;-0,153304732874193;0,190686709676461
"1DAM";-0,673427270800692;-0,0259536843879355;0,123346626494149
"2BOU";-0,40630631893743;-0,124126834495428;-0,0397758730146144
"1BOI";-0,528925376279125;0,116194109366129;0,243982124457223
"3EL ";-0,126541052515686;0,00813492234000587;0,171273234449735
"DOM1";-0,191426928771397;0,154837343929224;0,0710162598634177
"1TUR";0,304415141651037;0,0105804245348256;-0,310604540184404
"4EL ";-0,272225205964324;-0,172356927158066;-0,101889307805251
"PER1";-0,309581576164616;0,0297814252017324;0,0756317396807516
"2DAM";-0,779240909966364;0,294133547983058;-0,0879352250832083
"1POY";-0,798292929376722;-0,0210299752598258;0,148073412860341
"1ING";-0,224826802684257;0,00594121011913721;-0,0602930207001483
"1BEN";-0,366873256802596;0,15088607306275;0,0144314725194494
"2BEA";-0,185047676889209;0,0269236055693889;-0,170027371598932
"1ROC";0,0276795772762592;0,0288447360793992;-0,219362916267871
"2ING";1,69459723527825;0,553418955359604;-0,0184023905624369
"T1  ";0,726477674480193;-0,473182533582306;0,115083567126701
"T2  ";0,185037187405729;-1,06292478899635;-0,105246862420709
