"code";"Fruity.before.shaking";"Spice.before.shaking";"Fruity";"Spice";"Acidity"
"cst.";"2,28435216708482";"1,93314878367172";"2,16026465846379";"1,99986567979288";"2,94150482250239"
"Attack.intensity";"-0,0244791763735733";"0,354495888557139";"-0,16007163033617";"0,304063285063788";"0,232777349538961"
"Balance";"0,165624170537246";"-0,379032984047475";"0,314706378593958";"-0,0976056756364477";"-0,100561992885534"
"Smooth";"0,0808939043031831";"-0,225247732987785";"0,163772120941309";"-0,0901018532153055";"-0,0830973476571575"
"Bitterness";"-0,168127252659574";"0,0073795108076129";"0,174819586938013";"-0,0313556640711017";"0,142747404112358"
"Intensity";"0,0770419785116311";"0,274857541342602";"-0,0486836090548392";"0,376662471984753";"0,261501927888321"
"Harmony";"0,0882317375144346";"-0,0711843375077361";"0,102992952491708";"0,0648378074314403";"0,0284266409595703"
"Typical";"0,0908595545402675";"-0,371716669002365";"0,255450317012646";"-0,198702370643593";"-0,15626829259953"
"Flower.before.shaking";"0,376874762034292";"-0,752641373817286";"0,0477181470744443";"0,299197376901167";"0,0153672963369864"
"Visual.intensity";"-0,0563212098969306";"0,184452694708548";"-0,0422684158757952";"-0,0685630414262486";"-0,126092082089883"
"Nuance";"-0,0303276387987023";"0,100949028136909";"-0,0235541375589183";"-0,0374582449099477";"-0,0706935963714515"
"Surface.feeling";"-0,0809485523376071";"0,285715207847762";"-0,0708112202610984";"-0,105371933855526";"-0,216672148732956"
"Flower";"-0,868011875774062";"0,86784427117203";"-0,719603395361041";"-0,807146205836124";"-0,339243882396691"
"Plante";"0,071198161448797";"-0,0581118673272356";"0,131025005424213";"0,0644016914826745";"-0,0170751699018789"
"Phenolic";"0,126306145615257";"-0,139668903576952";"0,030978239088747";"0,119296873988468";"0,0953460902433743"
"Astringency";"0,0898760852787997";"-0,105724064115355";"-0,0128723501112037";"0,0857633053652189";"0,0896202300516113"
"Alcohol";"0,163773026891911";"-0,182731890784757";"0,0311775681787397";"0,154909804122006";"0,129235516120899"
