"obs";"F1";"F2"
"2EL ";-0,16246672641891;0,384685907339021
"1CHA";0,187903719013626;0,236424955880019
"1FON";-0,0997223311722916;0,123436321572099
"1VAU";1,17144249099217;0,202380990693644
"1DAM";-0,450324820012262;-0,155049483015152
"2BOU";-0,223676236792768;-0,221550936816324
"1BOI";-0,441091026927995;0,0380796701981203
"3EL ";-0,0738169015841875;0,00262428404551963
"DOM1";-0,199009028070837;0,125357661975375
"1TUR";0,164939637689272;0,0319273962500356
"4EL ";-0,0998082950031927;-0,239772297688133
"PER1";-0,200682150969063;-0,027203754026497
"2DAM";-0,725712018981925;0,114660280589421
"1POY";-0,52246880777269;-0,177621448486525
"1ING";-0,181118579879131;-0,0520716213254506
"1BEN";-0,32410033195175;0,0811999392793641
"2BEA";-0,195801571351549;-0,0387679772599474
"1ROC";-0,0261939777322341;0,00638630090227356
"2ING";0,814379380814703;0,914656951935531
"T1  ";0,803791945405368;-0,305870680218422
"T2  ";0,78353563070565;-1,04391246182397
