"obs";"F1";"F2"
"2EL ";-0,0323296550319019;-0,102459918143246
"1CHA";0,282223989925382;0,233493155516223
"1FON";0,507178168495277;0,254645147551208
"1VAU";0,651655209339028;0,278179163715564
"1DAM";-0,543736087287178;0,0799673240247622
"2BOU";0,261877927920772;-0,335775523167626
"1BOI";-0,276358474914752;-0,282289657971116
"3EL ";-0,122395443181426;0,257899798198932
"DOM1";0,133882349008732;-0,251005754228379
"1TUR";0,284769568325094;-0,152948767270497
"4EL ";-0,377845666161666;-0,0864522302434842
"PER1";-0,366496856070455;-0,0518946524276845
"2DAM";-0,245662206687321;-0,18922120711465
"1POY";-0,0784605279513131;-0,285548314043948
"1ING";-0,0532978495152589;-0,177008142233542
"1BEN";0,171715161935831;-0,187090834136132
"2BEA";-0,167581405540124;-0,353580600872467
"1ROC";-0,0332052336753713;-0,176802349467209
"2ING";1,05318585370426;0,256399474595166
"T1  ";-0,590390473169891;0,511024829938022
"T2  ";-0,458728349467715;0,760469057780108
