"obs";"F1"
"2EL ";0,0382575008623905
"1CHA";-0,475959519303048
"1FON";-0,282844563641689
"1VAU";-1,20635853993425
"1DAM";0,878918429998689
"2BOU";0,235350351120007
"1BOI";0,403046743049553
"3EL ";0,016968221226842
"DOM1";-0,184782395038149
"1TUR";-0,379056390558461
"4EL ";0,30638660080893
"PER1";0,26040110581628
"2DAM";0,607206513662878
"1POY";0,19285253910358
"1ING";0,284302536637368
"1BEN";-0,00117524976901933
"2BEA";0,639681860320813
"1ROC";-0,134175333243219
"2ING";-1,13359235825995
"T1  ";0,1313472421115
"T2  ";-0,196775294971049
