"obs";"F1";"F2";"F3"
"2EL ";0,116457542348417;0,370376348540105;-0,149598693340666
"1CHA";0,359335226021394;0,168323575040126;0,0838483939071789
"1FON";-0,0442246750155728;0,13444876946785;0,00300372313153236
"1VAU";1,49867550608887;-0,125916815143202;0,18315625453436
"1DAM";-0,670404663105759;-0,0124594643566175;0,135766806774625
"2BOU";-0,407070900884747;-0,138136802507484;-0,0288367069058201
"1BOI";-0,52306820295467;0,149268305519805;0,257451488248765
"3EL ";-0,122611548189917;0,0296819462394503;0,181202326404899
"DOM1";-0,192407361544694;0,180136541785212;0,0476208667772292
"1TUR";0,304898273607596;-0,0424107447632243;-0,295247091034899
"4EL ";-0,277612341950285;-0,186337730892935;-0,109508197933527
"PER1";-0,312234674081563;0,0524579161236441;0,0533710620858636
"2DAM";-0,779860360991473;0,297333916413818;-0,108790116784676
"1POY";-0,794967571544735;-0,00270476808517742;0,158168410755368
"1ING";-0,224113019811177;-0,00733837567435084;-0,0513430151959799
"1BEN";-0,367623048034487;0,169380648568325;-0,00740878694645288
"2BEA";-0,184162948829379;-0,00737087941835551;-0,152587931292567
"1ROC";0,0232386397444812;0,00164748727135331;-0,23132997115635
"2ING";1,69970798884163;0,557646615004787;-0,0253535459883678
"T1  ";0,72304795800006;-0,475443217204289;0,130837373157889
"T2  ";0,175000182286;-1,11258327192884;-0,0744226491984011
