"obs";"F1";"F2"
"2EL ";-0,0145533368645769;-0,103144289275474
"1CHA";0,23880593756617;0,261085684856661
"1FON";0,462370655956859;0,302035575554202
"1VAU";0,604798365175563;0,337210274630319
"1DAM";-0,556563500925292;0,0192976488721134
"2BOU";0,32650656848595;-0,308502726155665
"1BOI";-0,224894328053353;-0,307378028772415
"3EL ";-0,177245540320706;0,252645770699598
"DOM1";0,177525451814424;-0,23045495120168
"1TUR";0,315294406310031;-0,124707197790006
"4EL ";-0,367090024435346;-0,117770459626184
"PER1";-0,3562927148671;-0,0906975255449531
"2DAM";-0,213162631405146;-0,209531001409689
"1POY";-0,0259059045218782;-0,290530414135102
"1ING";-0,0200072676569681;-0,181601633748712
"1BEN";0,206872170533074;-0,167970303725806
"2BEA";-0,10583951218866;-0,362387348676958
"1ROC";-0,000804563130821225;-0,178074693420543
"2ING";1,01676454321781;0,348654532972366
"T1  ";-0,686705288594008;0,446469616344964
"T2  ";-0,599873486096024;0,705351469552969
