"obs";"F1";"F2"
"2EL ";-0,02823851072797;-0,102680169239627
"1CHA";0,273416774781259;0,240295435943087
"1FON";0,498487560777632;0,26598070873925
"1VAU";0,642676023609524;0,292144895506216
"1DAM";-0,548881623427206;0,0656754719055931
"2BOU";0,277105061715365;-0,32993608507887
"1BOI";-0,265560005918949;-0,288505666572041
"3EL ";-0,134221450922926;0,257420818561177
"DOM1";0,144674539294324;-0,246321104164579
"1TUR";0,292383511826336;-0,146632220432594
"4EL ";-0,375983375843653;-0,0936157546110089
"PER1";-0,365582211074818;-0,0611269140675966
"2DAM";-0,238798002205038;-0,194089488753916
"1POY";-0,0667788192048767;-0,287066963119512
"1ING";-0,0460168012619132;-0,178346567861614
"1BEN";0,180224353851657;-0,182862415997241
"2BEA";-0,153632154399393;-0,355881046404797
"1ROC";-0,0259283275179722;-0,177307808699305
"2ING";1,04706378172194;0,277769325092548
"T1  ";-0,614089463035809;0,496591541007854
"T2  ";-0,492320862037511;0,748494008246981
