"obs";"F1"
"2EL ";0,0395493971051802
"1CHA";-0,477450696129354
"1FON";-0,280651353574558
"1VAU";-1,21145780970071
"1DAM";0,881694025661159
"2BOU";0,23220141192733
"1BOI";0,399795065864236
"3EL ";0,0102963339541668
"DOM1";-0,185098827690406
"1TUR";-0,373918102732773
"4EL ";0,309539838835258
"PER1";0,261506158498511
"2DAM";0,606799677069052
"1POY";0,192147990086605
"1ING";0,28673042457909
"1BEN";-0,000830586021184212
"2BEA";0,637931490695574
"1ROC";-0,133496470389786
"2ING";-1,12590911321376
"T1  ";0,136274579160249
"T2  ";-0,205653433983874
