"obs";"F1";"F2";"F3"
"2EL ";-0,16361938494875;0,384857320123683;-0,144357146245983
"1CHA";0,186832036356926;0,236699264055821;0,0884335256833646
"1FON";-0,100386698689995;0,123458250771667;-0,000791672690123058
"1VAU";1,17062267476396;0,203939029229582;0,163550936070615
"1DAM";-0,449943636198002;-0,155802494862244;0,136569506394591
"2BOU";-0,222810215803706;-0,221930668094411;-0,0265017868709247
"1BOI";-0,441127156967853;0,0373686894511584;0,250733055946903
"3EL ";-0,0740960862947337;0,0024713351069012;0,179141602631814
"DOM1";-0,199811416240875;0,124929476783513;0,0633033079335127
"1TUR";0,165243723038323;0,0326430612228931;-0,30655108975414
"4EL ";-0,098794313044331;-0,240126095279264;-0,108957888840553
"PER1";-0,201082898172865;-0,0277588940958454;0,073113925122756
"2DAM";-0,726093997116746;0,113624110014352;-0,0872432239561439
"1POY";-0,522316187988147;-0,178519312312935;0,167897633568851
"1ING";-0,18068253464735;-0,0522532899223172;-0,053753815658553
"1BEN";-0,324735634685808;0,0806440613580226;0,00298910662599864
"2BEA";-0,194969381465026;-0,0388183839311055;-0,160676915190439
"1ROC";-0,0258368679648079;0,0064256587769469;-0,227113487219046
"2ING";0,812306712059217;0,916399113527108;-0,0410823501026379
"T1  ";0,804762191524383;-0,30499561062267;0,118214410021195
"T2  ";0,786539072486185;-1,04325462130086;-0,0869176334710533
