"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";2,43667812530821;3,05725100201472;3,69545455886213
"PER1";3,16878187223956;3,50933192491501;3,40747275733919
"1FON";2,99279060738167;3,15859644105427;3,1010472510835
"1BEN";3,07174579808321;3,38096113885823;3,3701195151602
"1TUR";2,88888386802636;3,31857378327166;3,46006781961106
"1CHA";2,36476760260898;2,92677888359341;3,1545190014415
"3EL ";4,43865199357245;4,51330744371365;3,20573736746517
"2EL ";3,29318171413059;3,40503582979246;3,13935445587626
"2DAM";4,00655576611898;4,0428283360295;3,31976988661385
"1BOI";3,03871989025193;3,43801507923392;3,37177853274759
"4EL ";2,98141583431795;3,3842014453849;3,22557550551343
"1DAM";3,36174561158592;3,56128124202345;3,42200237253734
"1ROC";2,79592726142787;2,95315971815884;3,05126450049603
"T1  ";3,53508040577214;3,25383993524074;3,08411537049545
"2BEA";3,71990744921217;3,64159885026081;3,36604722327606
"2BOU";3,38624260928194;3,61918620831969;3,27311076609792
"T2  ";2,29405137745648;3,1957019350701;2,93480117239476
"1VAU";2,28669983460947;2,83118298694615;3,03312215186281
"DOM1";2,8330720005053;3,15328452946182;3,46148257824118
"1POY";3,38556300025568;3,45028279759424;3,3804368407214
"2ING";2,45909254956671;3,0844636372171;2,70924874508185
