"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";2,47658691344869;3,07213652360345;3,61878062540918
"PER1";3,17708150516769;3,49631483782046;3,44069870536858
"1FON";2,96757652028632;3,16678106137939;3,07544190467897
"1BEN";3,07990421344706;3,40220990648035;3,3427526943894
"1TUR";2,86962050812264;3,34237520050938;3,44369103280541
"1CHA";2,36397388758335;2,92716938429206;3,14448340189377
"3EL ";4,46825795517176;4,63599773795202;3,19037733000042
"2EL ";3,342667267384;3,3965206815948;3,20632606360643
"2DAM";4,06948566473474;4,04911869744865;3,39519042357734
"1BOI";2,99918886186758;3,37558977875894;3,41450457066227
"4EL ";3,01045278332244;3,40900134575356;3,20854547247281
"1DAM";3,2827397194275;3,46779672418202;3,49296439863615
"1ROC";3,01730963187758;3,02398831479865;2,95613717024237
"T1  ";3,90190302275146;3,46517733656735;2,82993457214728
"2BEA";3,70328754671681;3,6394304065978;3,3300681457218
"2BOU";3,29537825479911;3,48739236811282;3,2966753963958
"T2  ";2,53581023803997;3,70826171835033;2,8138571302269
"1VAU";2,34565306618188;3,10524466622149;2,97069931364194
"DOM1";2,95112191160832;3,28147586742514;3,35933798056927
"1POY";3,37970802688136;3,48617474334775;3,36240743076865
"2ING";2,48823775851362;3,15747038219892;2,65918952675909
