"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";3,08721379985089;3,4208847245358;3,36793047411614
"PER1";3,20756976396684;3,4591197774794;3,35418099396414
"1FON";2,85768952451269;3,24306827039796;3,27084431395034
"1BEN";2,91645583344543;3,30690699426449;3,30383236838416
"1TUR";3,08504711531647;3,36873961304621;3,11086052356843
"1CHA";2,80471995198654;3,25335602365533;3,00209072517963
"3EL ";3,24575023510298;3,4175895472143;3,19536104891702
"2EL ";2,79810606102247;3,07950445715785;3,42678161285812
"2DAM";3,24740309664494;3,41422385887324;3,48008756678142
"1BOI";3,02954755782069;3,4262411952879;3,38479177866599
"4EL ";3,07167760674604;3,3985763970335;3,32783324739471
"1DAM";3,28795096877261;3,61086271512362;3,46620765454231
"1ROC";3,09856789988137;3,50625551939984;3,07775578794674
"T1  ";3,73433162489946;3,57711862208925;3,15112989040187
"2BEA";3,5426938818986;3,62208158181595;3,26267216170206
"2BOU";3,07374760898984;3,49516774711567;3,48902373974245
"T2  ";3,33225394493841;3,95434820368412;3,18982620057163
"1VAU";2,78063422686448;3,30920744568368;2,74193325345617
"DOM1";2,74917658093731;3,09423450533893;3,32692669606064
"1POY";3,27517756586935;3,47885531315026;3,20528465314028
"2ING";2,52353811618479;3,06946709680484;3,08204063524728
