"obs";"F1"
"2EL ";-0,240882942775708
"1CHA";-0,486509843154696
"1FON";-0,549980626084701
"1VAU";-0,555466585819987
"1DAM";0,17022813687445
"2BOU";0,244056862953702
"1BOI";0,118906774899728
"3EL ";0,510638907171698
"DOM1";-0,0388951328779997
"1TUR";0,00303914899363845
"4EL ";0,334317626027142
"PER1";0,262144858844888
"2DAM";0,170005597861083
"1POY";0,129404011623127
"1ING";0,378882171794773
"1BEN";-0,249493046467218
"2BEA";0,320993162863615
"1ROC";-0,10011457985794
"2ING";-1,20359010655215
"T1  ";0,531569053297301
"T2  ";0,250746550385248
