"obs";"F1"
"2EL ";-0,134565099238736
"1CHA";0,21455110684676
"1FON";-0,0924651370861021
"1VAU";1,24250327719748
"1DAM";-0,486093223105229
"2BOU";-0,252956517466036
"1BOI";-0,459512934895772
"3EL ";-0,0791705425750823
"DOM1";-0,201387005790664
"1TUR";0,182587314852438
"4EL ";-0,124075187251193
"PER1";-0,217603737994656
"2DAM";-0,751181500723862
"1POY";-0,565906205180261
"1ING";-0,192231618762434
"1BEN";-0,334019554571845
"2BEA";-0,203359129688203
"1ROC";-0,0241458081814297
"2ING";0,935177880943554
"T1  ";0,813431158036156
"T2  ";0,730422464635122
