"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";2,68548503726757;3,26745938106481;3,60576168349671
"PER1";3,14652343193227;3,48329013513164;3,41294876674154
"1FON";3,08062396037927;3,22141314921374;3,0663814954815
"1BEN";2,90019695333047;3,3000826260441;3,37433672288249
"1TUR";3,00728721591525;3,3665969650935;3,46020454982375
"1CHA";2,7462170275893;3,12013125423721;3,185570899034
"3EL ";3,32116562975986;3,71337191532659;3,27884009410615
"2EL ";2,85663231944578;3,0455427504968;3,24956939803431
"2DAM";3,36155606677356;3,56242076647369;3,37998351498147
"1BOI";3,00139703602906;3,40319843115025;3,36066666308826
"4EL ";3,05109843291836;3,44244714884447;3,23975618076703
"1DAM";3,34606829450562;3,54459009426069;3,42051186339134
"1ROC";2,87663946272503;3,13060811851099;2,9197933870208
"T1  ";3,59874784643258;3,29090926617417;3,02716704893243
"2BEA";3,71817757521714;3,67141337154269;3,34233446479133
"2BOU";3,27934298204353;3,57267452867949;3,23010463979109
"T2  ";3,18901747329997;3,49963581737988;3,49207156640173
"1VAU";2,49980942551261;2,93718884575754;3,17785193871544
"DOM1";2,8161859969722;3,12905139886388;3,47944946161077
"1POY";3,38494933111327;3,43943226545245;3,38622821700526
"2ING";2,48516254506205;3,11542518841768;2,68998553868908
