"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";2,92623567576465;3,49834163942524;3,41323140283141
"PER1";3,22602692598262;3,44208087806938;3,34863458189048
"1FON";2,93483395774149;3,20789230021837;3,25069038433444
"1BEN";2,9197283657309;3,28675111648079;3,29721533085932
"1TUR";3,0277998989255;3,4499700062931;3,1607186245836
"1CHA";2,82015751247247;3,23422895794617;2,99155888552994
"3EL ";3,18043861809898;3,61350349218613;3,66816803916119
"2EL ";2,83852723478216;3,0193713779949;3,26205686478217
"2DAM";3,26661213157234;3,46550805846286;3,55257416959813
"1BOI";3,04540135711886;3,40769463923382;3,36206224998178
"4EL ";3,03819577133699;3,40020404448775;3,35902214965781
"1DAM";3,36645107349154;3,53991975126669;3,37441722348014
"1ROC";3,0775773406053;3,52080547133397;3,06565017985174
"T1  ";3,7543635026502;3,5887307879847;3,14131867910294
"2BEA";3,59731473966146;3,67320066760233;3,2070439275209
"2BOU";3,14010289306801;3,42993772971621;3,44183159597045
"T2  ";3,53184965024233;3,78145953251337;3,06143445036046
"1VAU";2,81860722272726;3,31904565643758;2,72779008795409
"DOM1";2,70723493616326;3,13182621908695;3,36476136867342
"1POY";3,27743381170708;3,48219777771112;3,20813538909243
"2ING";2,6061398518016;2,99993151830481;3,00829053669229
