"obs";"F1";"F2";"F3"
"2EL ";0,108532443266265;0,375972870816157;-0,140654234027248
"1CHA";0,356731274481292;0,158052603786613;0,0924277608186118
"1FON";-0,0483608363821412;0,130899368037225;0,0050791402909712
"1VAU";1,50231105692723;-0,132901946546344;0,183669770946111
"1DAM";-0,672370184010649;-0,0245498602263318;0,129531052513027
"2BOU";-0,404985217168977;-0,133800642270426;-0,0343242819921873
"1BOI";-0,529024187976983;0,128105044248444;0,247077300943715
"3EL ";-0,125732866184415;0,0142839257607527;0,179153755200768
"DOM1";-0,193203747899711;0,169016052819687;0,0590714466272234
"1TUR";0,303363052133406;-0,015056421379646;-0,298868190257578
"4EL ";-0,270769188052845;-0,1755951268745;-0,112548245542013
"PER1";-0,309969322839796;0,0417241496732817;0,0648011185827346
"2DAM";-0,783119777304992;0,29585440151007;-0,098722664568888
"1POY";-0,797196985398534;-0,0196767082165517;0,15756294189337
"1ING";-0,224997329458189;-0,00210298661736601;-0,0561544265442565
"1BEN";-0,368589485496622;0,162142123243986;0,00186663179242023
"2BEA";-0,185810028446003;0,00863838152192157;-0,162371717961899
"1ROC";0,0262135450652539;0,0204523471062739;-0,228985507224395
"2ING";1,68787133641211;0,561775972629695;-0,0207030512495646
"T1  ";0,73219305691408;-0,474024784225624;0,12206392595759
"T2  ";0,19691339142022;-1,08920876479732;-0,0889725261985088
