"obs";"F1"
"2EL ";-0,306604399046447
"1CHA";0,637765557380166
"1FON";0,371544480652125
"1VAU";1,06232979108631
"1DAM";-0,3827968966544
"2BOU";-0,462810090395809
"1BOI";-0,178585986123543
"3EL ";-0,0891994858276199
"DOM1";-0,1080021917692
"1TUR";0,273387008849238
"4EL ";0,0395805285210482
"PER1";-0,562276262300647
"2DAM";-0,408128428653117
"1POY";-0,660682525777507
"1ING";-0,294031572233146
"1BEN";0,153435696998427
"2BEA";-0,0605398631261693
"1ROC";0,198494300752077
"2ING";1,29425946619926
"T1  ";-0,239208303004076
"T2  ";-0,277930825526978
