"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";3,05496493568078;3,35932028364604;3,41646416013768
"PER1";3,1932203407796;3,46652471785266;3,33778062330227
"1FON";2,87287248151245;3,27303734763937;3,23309657501459
"1BEN";2,90567303959823;3,3091355067006;3,29932396747268
"1TUR";3,06534375623903;3,38014185226347;3,08461353321941
"1CHA";2,8481487791987;3,22602929484043;3,08850595692197
"3EL ";3,23546166144732;3,42891484416084;3,21520452472525
"2EL ";2,73786853551313;3,08209148266719;3,48446958538633
"2DAM";3,21244695420963;3,4159844959098;3,51755252602671
"1BOI";3,04264486713064;3,44381968080261;3,3645122271711
"4EL ";3,07425058120452;3,4363229518932;3,28630965645078
"1DAM";3,27335847636092;3,6148703492338;3,45481673216288
"1ROC";3,11666459160104;3,54254649466545;3,05265174022044
"T1  ";3,71720991069969;3,60589452365463;3,08333477136106
"2BEA";3,5772922846582;3,67195904794298;3,24971015537387
"2BOU";3,08140675583683;3,49147347259091;3,48693981761458
"T2  ";3,34089688396211;3,77593214943483;3,30426491344495
"1VAU";2,77809098296478;3,23411047587175;2,78188886268905
"DOM1";2,86670986134319;3,22003711360936;3,2201763768487
"1POY";3,24460525415549;3,46577865805187;3,21408711091237
"2ING";2,50009735423624;3,07372830032221;3,0722059793023
