"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";3,17078275276423;3,45166629408542;3,32197351628706
"PER1";3,17795796820445;3,4576352662171;3,33154178258322
"1FON";2,81448134028276;3,22206312692424;3,25398619159594
"1BEN";2,90227126787309;3,27862233584804;3,31737358988727
"1TUR";2,9431746217853;3,27501025929819;3,13044574727185
"1CHA";2,85894147155412;3,22276586051586;3,12164279079236
"3EL ";3,09987233140755;3,37560704473631;3,28323199280138
"2EL ";3,03941624808121;3,34056108806511;3,29179099169928
"2DAM";3,16183271197612;3,44033343593859;3,53986154072413
"1BOI";3,1210816856053;3,44880064013709;3,40424315359556
"4EL ";3,21834605150081;3,4891207254413;3,30324520893401
"1DAM";3,4301659336176;3,66372657117153;3,4847769955589
"1ROC";3,07966495787445;3,37066607829257;3,21752238125876
"T1  ";3,81678226430406;3,75380070011012;2,9638452631015
"2BEA";3,61076708295692;3,69004829973644;3,29884534172947
"2BOU";3,09670379265655;3,41425617203569;3,35479784851922
"T2  ";3,17344713933258;3,41427038162283;3,16722027668433
"1VAU";2,7823768219625;3,11030410500056;2,73933284935526
"DOM1";2,83012348150201;3,24908174947031;3,23335818883598
"1POY";2,9437546705456;3,31613566707294;3,37985067235342
"2ING";2,72453693573192;3,18010173512109;2,87680875727784
